Date,Open,High,Low,Close,Adj Close,Volume
2023-04-02,0.009634,0.009671,0.009266,0.009505,0.009505,2453
2023-04-03,0.009504,0.009973,0.009465,0.009949,0.009949,2119
2023-04-04,0.009949,0.010780,0.009865,0.010649,0.010649,3952
2023-04-05,0.010640,0.010924,0.010472,0.010564,0.010564,1988
2023-04-06,0.010562,0.010573,0.009987,0.010102,0.010102,2564
2023-04-07,0.010103,0.010156,0.009799,0.009879,0.009879,2824
2023-04-08,0.009874,0.009917,0.009598,0.009667,0.009667,1734
2023-04-09,0.009668,0.009920,0.009563,0.009862,0.009862,469
2023-04-10,0.009857,0.009879,0.009081,0.009231,0.009231,3879
2023-04-11,0.009231,0.009723,0.009228,0.009529,0.009529,4665
2023-04-12,0.009531,0.009671,0.009335,0.009566,0.009566,1334
2023-04-13,0.009539,0.010378,0.009462,0.010336,0.010336,2036
2023-04-14,0.010336,0.011918,0.010332,0.011917,0.011917,10278
2023-04-15,0.011917,0.011940,0.010848,0.010977,0.010977,10198
2023-04-16,0.010977,0.011020,0.010359,0.010463,0.010463,2876
2023-04-17,0.010462,0.010466,0.009844,0.009887,0.009887,1722
2023-04-18,0.009889,0.010230,0.009808,0.010230,0.010230,852
2023-04-19,0.010220,0.010226,0.009198,0.009262,0.009262,1167
2023-04-20,0.009262,0.009567,0.009216,0.009386,0.009386,2178
2023-04-21,0.009374,0.009538,0.008985,0.009082,0.009082,815
2023-04-22,0.009082,0.009326,0.008991,0.009253,0.009253,1055
2023-04-23,0.009253,0.009308,0.009115,0.009221,0.009221,94
2023-04-24,0.009220,0.009351,0.008447,0.008505,0.008505,3502
2023-04-25,0.008505,0.008533,0.007856,0.007984,0.007984,2200
2023-04-26,0.007984,0.008880,0.007664,0.008819,0.008819,7622
2023-04-27,0.008820,0.009141,0.008714,0.009012,0.009012,1549
2023-04-28,0.009012,0.009159,0.008945,0.008978,0.008978,982
2023-04-29,0.008978,0.009096,0.008949,0.009036,0.009036,434
2023-04-30,0.009044,0.010059,0.008891,0.009442,0.009442,8479
2023-05-01,0.009430,0.011198,0.009175,0.010769,0.010769,10122
2023-05-02,0.010771,0.010902,0.010579,0.010588,0.010588,1892
2023-05-03,0.010583,0.010680,0.010306,0.010627,0.010627,1792
2023-05-04,0.010626,0.010742,0.008061,0.008074,0.008074,16582
2023-05-05,0.008073,0.008245,0.007013,0.008208,0.008208,4514
2023-05-06,0.008215,0.008477,0.007507,0.007520,0.007520,4092
2023-05-07,0.007520,0.007692,0.007111,0.007463,0.007463,2828
2023-05-08,0.007463,0.007506,0.007327,0.007410,0.007410,0
2023-05-09,0.007410,0.007410,0.007279,0.007327,0.007327,196
2023-05-10,0.007329,0.007468,0.007130,0.007289,0.007289,130
2023-05-11,0.007291,0.007396,0.007162,0.007236,0.007236,1035
2023-05-12,0.007234,0.007402,0.007071,0.007360,0.007360,611
2023-05-13,0.007355,0.007384,0.007274,0.007285,0.007285,142
2023-05-14,0.007283,0.007332,0.005268,0.005327,0.005327,11551
2023-05-15,0.005325,0.005537,0.005294,0.005454,0.005454,437
2023-05-16,0.005458,0.005468,0.005384,0.005406,0.005406,383
